"","To_Fill"
"1","Andromeda polifolia"
"2","Arctostaphylos uva-ursi"
"3","Arctous alpina"
"4","Arctous rubra"
"5","Artemisia dracunculus"
"6","Betula glandulosa"
"7","Betula humilis"
"8","Betula nana"
"9","Calluna vulgaris"
"10","Cassiope tetragona"
"11","Chamaedaphne calyculata"
"12","Cornus canadensis"
"13","Cornus sericea"
"14","Dasiphora fruticosa"
"15","Diapensia lapponica"
"16","Dryas integrifolia"
"17","Dryas octopetala"
"18","Empetrum nigrum"
"19","Harrimanella hypnoides"
"20","Linnaea borealis"
"21","Loiseleuria procumbens"
"22","Myrica gale"
"23","Phyllodoce caerulea"
"24","Rhododendron lapponicum"
"25","Rhododendron tomentosum"
"26","Ribes nigrum"
"27","Ribes spicatum"
"28","Rubus chamaemorus"
"29","Rubus idaeus"
"30","Salix arctica"
"31","Salix glauca"
"32","Salix hastata"
"33","Salix herbacea"
"34","Salix lanata"
"35","Salix lapponum"
"36","Salix niphoclada"
"37","Salix phlebophylla"
"38","Salix phylicifolia"
"39","Salix polaris"
"40","Salix pulchra"
"41","Salix reticulata"
"42","Salix rotundifolia"
"43","Salix vestita"
"44","Sibbaldia procumbens"
"45","Vaccinium myrtilloides"
"46","Vaccinium myrtillus"
"47","Vaccinium uliginosum"
"48","Vaccinium vitis-idaea"
