,X.1,X,sp,rel.quan25,rel.median,rel.quan75,abs.quan25,abs.median,abs.quan75,future.med,category.rel,category.abs,gf
1,1,38017,Andromeda polifolia,-6.35775,-1.6365,-0.016,-736500,-189600,-1850,11394900,Loser,Loser,Tall shrub
2,2,38035,Calluna vulgaris,-6.81475,11.876,49.45225,-294925,513950,2140025,4841450,No change,No change,Tall shrub
3,3,38053,Ribes glandulosum,-66.842,-61.165,-54.98425,-3513525,-3215150,-2890250,2041350,Loser,Loser,Low shrub
4,4,38071,Ribes nigrum,62.956,72.157,78.27875,6771650,7761350,8419775,18517550,Winner,Winner,Tall shrub
5,5,38077,Cornus sericea,-93.924,-92.068,-84.3145,-4973850,-4875550,-4464975,420050,Loser,Loser,Tall shrub
6,6,38083,Andromeda glaucophylla,102.0675,141.4375,170.5835,471450,653300,787925,1115200,Winner,Winner,Low shrub
7,7,38089,Arctostaphylos uva-ursi,-65.24625,-56.857,-35.39375,-5498125,-4791200,-2982550,3635500,Loser,Loser,Dwarf shrub
8,8,38095,Arctous alpina,58.84675,59.428,60.20775,5621500,5677050,5751525,15229850,Winner,Winner,Low shrub
9,9,38101,Arctous rubra,32.69975,35.196,36.40525,3287575,3538550,3660125,13592350,Winner,Winner,Dwarf shrub
10,10,38113,Artemisia dracunculus,-23.35775,20.9325,61.55125,-2079625,1863700,5480250,10767200,No change,No change,Tall shrub
11,11,38119,Artemisia frigida,-43.6485,-35.6365,-28.003,-3606825,-2944800,-2314000,5318600,Loser,Loser,Low shrub
12,12,38137,Artemisia gmelinii,108.6215,140.6995,187.263,771975,999950,1330875,1710650,Winner,Winner,Tall shrub
13,13,38149,Betula humilis,-79.4735,-53.632,-13.21825,-3115850,-2102700,-518250,1817900,Loser,Loser,Tall shrub
14,14,38155,Betula glandulosa,-17.166,-10.4115,-6.256,-1328000,-805450,-484000,6930850,Loser,Loser,Tall shrub
15,15,38161,Betula nana,-23.4605,-8.2445,2.4725,-2338075,-821650,246400,9144450,No change,No change,Tall shrub
16,16,38173,Cassiope tetragona,139.52375,143.259,151.69175,9085625,9328900,9878025,15840800,Winner,Winner,Low shrub
17,17,38179,Chamaedaphne calyculata,-34.94675,-26.015,-18.285,-4519750,-3364600,-2364825,9568800,Loser,Loser,Tall shrub
18,18,38185,Cornus canadensis,-12.29625,-3.2755,-0.13225,-816575,-217500,-8800,6423200,Loser,Loser,Low shrub
19,19,38203,Dasiphora fruticosa,132.815,137.7815,144.00725,14775125,15327650,16020275,26452250,Winner,Winner,Tall shrub
20,20,38209,Diapensia lapponica,-36.87025,-24.9935,-13.367,-2792650,-1893050,-1012450,5681150,Loser,Loser,Dwarf shrub
21,21,38239,Dryas integrifolia,-81.68975,-76.7265,-69.327,-5160925,-4847350,-4379875,1470350,Loser,Loser,Dwarf shrub
22,22,38245,Dryas octopetala,-1.529,-0.6965,-0.265,-149125,-67950,-25875,9684750,Loser,Loser,Dwarf shrub
23,23,38269,Empetrum nigrum,-11.63975,6.37,23.8935,-1845775,1010150,3788825,16867450,No change,No change,Low shrub
24,24,38281,Harrimanella hypnoides,148.973,156.2445,160.39675,3822950,4009550,4116100,6575750,Winner,Winner,Dwarf shrub
25,25,38293,Loiseleuria procumbens,-48.812,-29.016,-16.59425,-2955125,-1756650,-1004650,4297450,Loser,Loser,Low shrub
26,26,38299,Linnaea borealis,-60.55525,-50.1595,-35.8585,-9066575,-7510050,-5368900,7462350,Loser,Loser,Dwarf shrub
27,27,38323,Myrica gale,201.88175,217.677,232.9445,11116625,11986400,12827100,17492900,Winner,Winner,Tall shrub
28,28,38335,Vaccinium oxycoccos,-31.8365,-9.413,23.38275,-2340575,-692050,1719075,6659850,No change,No change,Dwarf shrub
29,29,38347,Phyllodoce caerulea,154.3575,165.0955,185.83075,11078700,11849400,13337650,19026700,Winner,Winner,Dwarf shrub
30,30,38359,Rhododendron lapponicum,119.33775,132.5375,149.21025,9951600,11052300,12442625,19391300,Winner,Winner,Tall shrub
31,31,38365,Rhododendron tomentosum,108.56675,110.4895,112.3015,15272725,15543250,15798075,29610850,Winner,Winner,Tall shrub
32,32,38395,Ribes spicatum,55.935,58.4415,61.2215,6760150,7063100,7399125,19148900,Winner,Winner,Tall shrub
33,33,38407,Rosa acicularis,15.1485,20.7755,29.14875,2291275,3142400,4408925,18267900,Winner,Winner,Tall shrub
34,34,38413,Rosa majalis,37.7075,37.914,38.041,3294675,3312700,3323825,12050100,Winner,Winner,Tall shrub
35,35,38431,Rubus chamaemorus,17.2075,17.9495,18.55175,2989125,3118050,3222700,20489250,Winner,Winner,Low shrub
36,36,38437,Rubus idaeus,7.5795,15.604,21.71075,937725,1930500,2686050,14302400,Winner,Winner,Tall shrub
37,37,38461,Salix arctica,-46.67125,-38.3465,-28.485,-2397900,-1970200,-1463525,3167700,Loser,Loser,Low shrub
38,38,38473,Salix argyrocarpa,-94.3355,-90.8635,-73.8515,-539975,-520100,-422725,52300,Loser,Loser,Tall shrub
39,39,38485,Salix barrattiana,19.328,35.48,38.63425,429150,787800,857825,3008200,Winner,Winner,Tall shrub
40,40,38533,Salix glauca,-29.9985,-10.2125,0.7095,-1647950,-561000,38975,4932400,No change,No change,Tall shrub
41,41,38539,Salix hastata,40.8145,44.316,45.44525,3066925,3330050,3414900,10844350,Winner,Winner,Tall shrub
42,42,38545,Salix herbacea,-26.99425,-14.337,-0.056,-1163300,-617850,-2425,3691550,Loser,Loser,Dwarf shrub
43,43,38557,Salix lanata,34.9205,34.965,35.023,1747925,1750150,1753100,6755650,Winner,Winner,Tall shrub
44,44,38563,Salix lapponum,7.92075,8.9625,9.02425,478625,541550,545275,6583950,Winner,Winner,Tall shrub
45,45,38569,Salix myrsinites,16.74775,16.9995,17.108,598250,607250,611125,4179450,Winner,Winner,Tall shrub
46,46,38587,Salix niphoclada,50.00375,50.194,50.27275,1200550,1205100,1207000,3606000,Winner,Winner,Tall shrub
47,47,38611,Salix phlebophylla,10.48225,10.5635,10.60475,276100,278250,279325,2912250,Winner,Winner,Dwarf shrub
48,48,38617,Salix phylicifolia,40.673,41.1555,41.33975,3472725,3513900,3529650,12052000,Winner,Winner,Tall shrub
49,49,38623,Salix polaris,-61.0035,-42.7455,-27.61225,-2948600,-2066100,-1334650,2767400,Loser,Loser,Dwarf shrub
50,50,38629,Salix pulchra,-67.66525,-50.1415,-38.88575,-3758925,-2785450,-2160175,2769750,Loser,Loser,Tall shrub
51,51,38647,Salix reticulata,-28.76175,-14.519,-5.298,-2993825,-1511250,-551475,8897750,Loser,Loser,Dwarf shrub
52,52,38653,Salix rosmarinifolia,-77.5155,-71.435,-59.75675,-4135700,-3811250,-3188200,1524050,Loser,Loser,Tall shrub
53,53,38683,Salix vestita,-100,-100,-100,-363300,-363300,-363300,0,Loser,Loser,Tall shrub
54,54,38695,Sibbaldia procumbens,60.57825,67.4995,74.1515,5667700,6315250,6937600,15671250,Winner,Winner,Dwarf shrub
55,55,38743,Thymus praecox,-47.677,-20.751,-7.83075,-568075,-247250,-93300,944250,Loser,Loser,Dwarf shrub
56,56,38749,Thymus serpyllum,-89.85175,-69.3305,-41.7935,-2354300,-1816600,-1095075,803600,Loser,Loser,Dwarf shrub
57,57,38755,Vaccinium caespitosum,-49.473,-43.703,-40.63375,-1470775,-1299250,-1208000,1673650,Loser,Loser,Tall shrub
58,58,38761,Vaccinium myrtilloides,21.92175,69.9005,124.525,123375,393400,700825,956200,Winner,Winner,Tall shrub
59,59,38767,Vaccinium myrtillus,31.37425,38.388,43.7225,2411925,2951100,3361175,10638700,Winner,Winner,Tall shrub
60,60,38779,Vaccinium uliginosum,-24.342,-5.803,5.0325,-4717775,-1124700,975375,18256300,No change,No change,Tall shrub
61,61,38785,Vaccinium vitis-idaea,-7.15025,3.0915,11.1935,-1437675,621600,2250650,20729000,No change,No change,Dwarf shrub
62,62,38803,Salix rotundifolia,-33.37975,-30.358,-21.9875,-915300,-832450,-602925,1909650,Loser,Loser,Dwarf shrub
